12
4, 2, 1
6, 3, 2
4, 4, 3
3, 4, 18
3, 5, 4
3, 5, 19
3, 19, 18
3, 19, 21
3, 19, 22
4, 6, 5
6, 7, 6
4, 8, 7
3, 8, 27
3, 8, 28
4, 9, 28
3, 10, 9
3, 12, 11
3, 1, 12
4, 12, 31
12, 11, 10
3, 13, 1
3, 14, 13
4, 14, 42
4, 15, 43
3, 15, 45
3, 17, 16
3, 16, 45
4, 46, 47
4, 17, 46
3, 18, 50
3, 46, 49
4, 23, 20
3, 20, 22
3, 23, 52
3, 50, 49
3, 53, 49
3, 53, 54
3, 55, 54
4, 45, 44
3, 45, 58
6, 58, 57
4, 58, 62
4, 50, 53
4, 53, 55
4, 22, 21
4, 51, 22
4, 63, 64
4, 65, 67
4, 49, 48
4, 48, 62
4, 56, 54
4, 69, 70
3, 62, 61
6, 72, 70
3, 73, 61
6, 74, 73
6, 75, 74
3, 73, 60
3, 60, 59
3, 60, 83
4, 32, 33
3, 85, 84
3, 85, 86
4, 87, 42
3, 87, 86
3, 88, 86
4, 88, 89
4, 91, 90
4, 93, 92
3, 95, 94
3, 95, 96
3, 97, 96
3, 98, 96
3, 98, 99
3, 100, 99
4, 87, 88
4, 103, 102
4, 105, 104
3, 107, 106
3, 43, 42
3, 44, 43
3, 57, 44
4, 107, 108
3, 88, 91
3, 91, 93
3, 93, 95
3, 91, 109
3, 93, 110
3, 102, 109
3, 109, 110
3, 104, 111
4, 95, 97
4, 110, 112
4, 111, 113
3, 106, 114
3,99,96
3,115,96
3,89,86
3,116,86
3,98,100
3,98,117
3,118,117
3,98,118
4,97,118
4,112,120
4,113,121
4,118,119
4,120,123
4,121,124
4,59,108
4,83,126
4,128,127
3,114,122
3,122,125
3,125,129
3,128,77
3,128,130
3,31,41
3,84,33
3,131,33
4,131,41
4,116,84
